ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21623,HX491772,11/02/2014 04:47:00 AM,015XX W 72ND PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0734,007,17,67,01A,1167082,1856645,2014,08/17/2015 03:03:40 PM,41.762189803,-87.663184929,"(41.76219, -87.663185)"
22212,HY175983,03/08/2015 03:00:00 AM,003XX S ALBANY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,1124,011,28,27,01A,,,2015,12/10/2015 03:54:20 PM,,,
21981,F218264,07/11/2015 01:45:00 AM,003XX N LOREL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1523,015,28,25,01A,1140650,1901706,2015,05/04/2016 03:46:16 PM,41.886368384,-87.758959007,"(41.886368, -87.758959)"
20859,HW254987,05/01/2013 01:26:00 AM,019XX S DRAKE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,1024,010,24,29,01A,1153059,1890107,2013,05/11/2016 03:48:18 PM,41.854302497,-87.713697274,"(41.854302, -87.713697)"
21219,B003173,08/25/2013 07:00:00 AM,000XX W 97TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0511,005,21,49,01A,,,2013,05/17/2016 03:49:21 PM,,,
22235,HY549247,12/24/2015 07:09:00 PM,003XX W 111TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0522,005,34,49,01A,1176074,1830987,2015,06/05/2016 03:49:37 PM,41.691583891,-87.630995465,"(41.691584, -87.630995)"
20990,HW365697,07/19/2013 01:50:00 PM,057XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,0712,007,16,68,01A,1170296,1866674,2013,06/15/2016 03:52:36 PM,41.789641278,-87.651113603,"(41.789641, -87.651114)"
22056,HY397947,08/26/2015 11:37:00 AM,030XX W VAN BUREN ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,true,false,1134,011,28,27,01A,1155960,1898002,2015,06/23/2016 03:46:04 PM,41.875909279,-87.702836558,"(41.875909, -87.702837)"
22057,HY397947,08/26/2015 02:07:00 PM,030XX W VAN BUREN ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,true,false,1134,011,28,27,01A,1155960,1898002,2015,06/23/2016 03:46:04 PM,41.875909279,-87.702836558,"(41.875909, -87.702837)"
21226,HX119907,01/19/2014 04:55:00 AM,091XX S COMMERCIAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0424,004,10,46,01A,1197732,1844939,2014,06/27/2016 03:50:03 PM,41.729357514,-87.551240409,"(41.729358, -87.55124)"
